Time,bbox_labels
02:32:01,['cat' 'cup' 'laptop']
02:32:02,['cat' 'laptop' 'cup' 'tvmonitor']
02:32:03,['cat' 'cup' 'laptop' 'tvmonitor']
02:32:04,['cat' 'tvmonitor' 'laptop' 'cup']
02:32:05,['cat' 'cup' 'laptop' 'tvmonitor']
02:32:06,['cat' 'cup' 'laptop' 'laptop' 'tvmonitor']
02:32:08,['cat' 'cup' 'laptop' 'laptop' 'tvmonitor']
02:32:09,['cat' 'cup' 'laptop']
02:32:10,['cat' 'cup' 'laptop']
02:32:11,['cat' 'cup' 'laptop']
02:32:12,['cat' 'cup' 'laptop']
