Time,bbox_labels
02:40:38,['banana' 'broccoli' 'banana' 'banana']
02:40:39,['banana' 'broccoli' 'banana' 'banana']
02:40:40,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:40:41,['banana' 'broccoli' 'banana' 'banana']
02:40:42,['banana' 'broccoli' 'banana' 'banana']
02:40:43,['broccoli' 'banana' 'banana' 'banana']
02:40:44,['broccoli' 'banana' 'banana' 'banana' 'banana']
02:40:45,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:40:46,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:40:47,['banana' 'broccoli' 'banana' 'banana']
02:40:49,['banana' 'broccoli' 'banana' 'banana']
02:40:50,['banana' 'broccoli' 'banana' 'banana' 'apple']
02:40:51,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:40:52,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:40:53,['broccoli' 'banana' 'banana' 'banana' 'banana']
02:40:54,['banana' 'broccoli' 'banana' 'banana']
02:40:55,['banana' 'broccoli' 'banana' 'banana']
02:40:57,['banana' 'apple' 'broccoli' 'banana' 'banana']
02:40:58,['banana' 'broccoli' 'banana' 'banana']
02:40:59,['banana' 'broccoli' 'banana' 'banana']
02:41:00,['banana' 'broccoli' 'banana']
02:41:01,['banana' 'broccoli' 'banana']
02:41:02,['banana' 'broccoli' 'banana' 'banana' 'apple']
02:41:03,['banana' 'banana' 'broccoli' 'banana']
02:41:05,['banana' 'broccoli' 'banana' 'banana' 'apple']
02:41:06,['banana' 'banana' 'broccoli' 'banana' 'banana']
02:41:07,['banana' 'banana' 'broccoli' 'apple']
02:41:08,['banana' 'broccoli' 'banana' 'apple' 'banana']
02:41:09,['banana' 'banana' 'banana' 'broccoli']
02:41:10,['banana' 'broccoli' 'banana']
