Time,bbox_labels
02:37:05,['banana' 'broccoli' 'banana' 'banana']
02:37:06,['banana' 'banana' 'broccoli' 'banana']
02:37:07,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:37:08,['banana' 'broccoli' 'banana']
02:37:09,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:37:10,['banana' 'broccoli' 'banana' 'banana']
02:37:11,['broccoli' 'banana' 'banana' 'banana']
02:37:12,['banana' 'broccoli' 'banana' 'banana']
02:37:13,['banana' 'broccoli' 'banana' 'banana']
02:37:14,['banana' 'broccoli' 'apple' 'banana' 'banana' 'banana']
02:37:15,['banana' 'banana' 'broccoli' 'banana' 'banana']
02:37:16,['banana' 'broccoli' 'banana' 'banana' 'apple']
02:37:17,['banana' 'banana' 'broccoli' 'banana']
02:37:18,['banana' 'broccoli' 'banana' 'banana']
02:37:19,['banana' 'banana' 'broccoli' 'apple']
02:37:21,['banana' 'broccoli' 'banana']
02:37:22,['banana' 'broccoli' 'banana' 'banana']
