Time,bbox_labels
02:37:51,['banana' 'broccoli' 'banana' 'banana']
02:37:52,['banana' 'banana' 'broccoli' 'banana']
02:37:53,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:37:55,['banana' 'broccoli' 'banana' 'banana']
02:37:56,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:37:57,['banana' 'broccoli' 'banana' 'banana']
02:37:58,['banana' 'broccoli' 'banana' 'banana']
02:37:59,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:38:00,['broccoli' 'banana' 'banana' 'banana']
02:38:01,['banana' 'broccoli' 'banana' 'banana']
02:38:02,['banana' 'banana' 'broccoli' 'banana' 'apple']
02:38:03,['banana' 'broccoli' 'banana' 'banana']
02:38:04,['banana' 'broccoli' 'banana']
02:38:05,['banana' 'broccoli' 'banana' 'apple' 'banana']
02:38:06,['banana' 'broccoli' 'banana' 'banana']
02:38:07,['banana' 'broccoli' 'banana' 'apple']
02:38:08,['banana' 'banana' 'apple' 'broccoli']
02:38:09,['banana' 'banana' 'banana' 'broccoli']
