Time,bbox_labels
01:42:17,['banana' 'broccoli' 'banana' 'banana']
01:42:18,['banana' 'broccoli' 'banana' 'banana']
01:42:19,['banana' 'broccoli' 'banana' 'banana' 'banana']
01:42:20,['banana' 'broccoli' 'banana' 'banana']
01:42:21,['broccoli' 'banana' 'banana' 'banana']
01:42:22,['banana' 'broccoli' 'banana' 'banana' 'banana']
01:42:23,['banana' 'broccoli' 'banana' 'banana']
01:42:25,['banana' 'broccoli' 'banana' 'banana' 'apple']
01:42:26,['banana' 'broccoli' 'banana' 'banana']
01:42:27,['broccoli' 'banana' 'banana' 'banana' 'banana']
01:42:28,['banana' 'banana' 'broccoli' 'banana' 'apple']
01:42:29,['banana' 'broccoli' 'banana' 'banana']
01:42:30,['banana' 'broccoli' 'banana']
01:42:31,['banana' 'broccoli' 'banana' 'banana']
01:42:32,['banana' 'broccoli' 'banana' 'banana']
01:42:33,['banana' 'banana' 'broccoli' 'apple']
01:42:34,['banana' 'broccoli' 'banana']
01:42:35,['banana' 'broccoli' 'banana' 'banana']
