Time,bbox_labels
17:48:19,['banana' 'broccoli' 'banana' 'banana']
17:48:20,['banana' 'banana' 'broccoli' 'banana']
17:48:21,['banana' 'broccoli' 'banana' 'banana' 'banana']
17:48:22,['banana' 'broccoli' 'banana']
17:48:23,['banana' 'broccoli' 'banana' 'banana' 'banana']
17:48:24,['banana' 'broccoli' 'banana' 'banana']
17:48:25,['banana' 'broccoli' 'banana' 'banana']
17:48:27,['banana' 'broccoli' 'banana' 'banana']
17:48:28,['broccoli' 'banana' 'banana' 'banana']
17:48:29,['banana' 'broccoli' 'banana' 'banana']
17:48:30,['banana' 'broccoli' 'apple' 'banana' 'banana' 'banana']
17:48:31,['banana' 'broccoli' 'banana' 'banana']
17:48:32,['banana' 'broccoli' 'banana' 'banana']
