Time,bbox_labels
02:22:04,['banana' 'broccoli' 'banana' 'banana']
02:22:05,['banana' 'broccoli' 'banana' 'banana']
02:22:06,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:22:07,['broccoli' 'banana' 'banana' 'banana']
02:22:08,['banana' 'broccoli' 'banana' 'banana' 'banana']
02:22:09,['banana' 'broccoli' 'banana' 'banana']
02:22:10,['banana' 'broccoli' 'banana' 'banana']
02:22:11,['banana' 'broccoli' 'banana' 'banana']
02:22:12,['banana' 'broccoli' 'banana' 'banana']
02:22:14,['banana' 'broccoli' 'apple' 'banana' 'banana' 'banana']
02:22:15,['banana' 'broccoli' 'banana' 'banana']
02:22:16,['banana' 'banana' 'broccoli' 'banana' 'banana']
02:22:17,['banana' 'broccoli' 'banana' 'apple' 'banana']
02:22:18,['banana' 'broccoli' 'banana' 'apple' 'banana']
02:22:19,['banana' 'broccoli' 'banana' 'apple' 'banana' 'banana']
02:22:20,['banana' 'broccoli' 'banana' 'apple' 'banana']
02:22:21,['banana' 'broccoli' 'banana' 'banana']
